# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Эй, здоровенный пёс!
line:918d7820	'Ey big kobold.	Эй, здоровенный кобольд.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	«Кажется», «по дороге сюда»? Значит, до этого вы были чистым...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	Может. Ни в чём я не уверен так, как в этом.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	Может. Ни в чём я не уверен так, как в этом.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	...Кстати, следующее занятие уже совсем скоро.
line:4815d919	... Being a bit of a jerk honestly.	...Вёл себя как придурок, если честно.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	...Я думал, мы хорошие друзья. Мы же постоянно трахаемся!
line:1bebf328	... Thank you..	...Спасибо...
line:a8eb78ed	... you're done? I'm still dirty..	...Уже всё? Я ещё грязный...
line:ef611d11	... you're done? I'm still soapy..	...Уже всё? На мне ещё мыло...
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>Уж он-то мне точно нравится.
line:e2ea4ead	...A wash for our date tonight.	...К нашему сегодняшнему свиданию.
line:048d7f84	...About what I said earlier.	...Возвращаясь к тому, что я говорил.
line:55d1f6ef	...and nice.	...И добрый.
line:79a1a205	...But not in like a bad weird way.	...Но не в каком-нибудь плохом или странном смысле.
line:3592632e	...It's intimidating knowing how much they look up to me.	...Даже страшно оттого, насколько они смотрят на меня снизу вверх.
line:7e08544c	...It's odd being able to speak so freely with someone.	...Непривычно беседовать с кем-то столь свободно.
line:f0cb8389	...No	...Нет.
line:92601622	...Okay, come in	...Ладно, заходи.
line:e381559c	...Thank you for this.	...Благодарю за помощь.
line:b7b5f7fb	...Thanks.	...Спасибо.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Вы предложили Конраду познакомиться с Райаном?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Знаю одного дракона, Райана. Может, познакомить вас? </b></gradient><size=70%>(Открывает отношения Конрада с Райаном ИЛИ роман с Райаном)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Я бы не отказался провести с тобой время... </b></gradient><size=70%> (Открывает роман с Конрадом)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> С удовольствием! </b></gradient><size=70%> (Ведёт к роману с Александром!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Я сегодня вечером занят. Простите. </b></gradient><size=70%> (Романтической линии не будет!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Так сразу никто на ум не приходит.</b></gradient><size=70%> (Закрепляет выбор романа с Конрадом!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b> Знаю одного красного дракона. Думаю, он тебе понравится! </b></gradient><size=70%> (Соединяет Райана с Конрадом!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Ой. Эм. <size=70%> Я был бы не против... оказаться этим кем-то. </b></gradient><size=70%> (Закрепляет выбор романа с Райаном!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>ЭЙ! </gradient><size=100%>Здесь ведь моют, а?
line:c777ce0c	<i> that feels nice...</i>	<i> Как приятно...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Ох... И книги тоже.
line:d67b1098	<i>I like spraying you with water.	<i>Мне нравится тебя поливать.
line:ad5d633a	<i>Oh...	<i>Ох...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>О.</i> Кажется, я к этому пока не готов.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>О-о-о. </i>Станок? Да, чёрт возьми, дружище.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	В <i>этом</i> ты не виноват, Конрад.
line:72b244b7	<size=100%> That felt damn good!	<size=100%> Вот это охрененно было!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>То есть... Классно.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> ДА, БЛЯДЬ!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>ЭЙ, <size=100%>мне бы помыться.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>ДА-А, ЗАШИБИСЬ!
line:f5462edf	<size=60%> that's hot.	<size=60%> Это возбуждает.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%> Такой большой дракон отдаёт мне контроль. Ух ты.
line:53d71f27	<size=70%> And for me.	<size=70%> Ну и для себя.
line:4fe271cc	<size=70%> woah.	<size=70%> Ух ты.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i> Охренеть, я только что договорился о свидании с драконом.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Но приятно... Благодарю.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Впрочем, можете продолжать...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Ой...</i> Нет, наоборот, это здорово.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Ого...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Правда?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Жалованье я им по-прежнему плачу.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Несколько дней назад...
line:c570a462	A rather good excuse to see my favorite kobold.	И весьма неплохой повод повидать любимого кобольда.
line:5d2d16e0	A really good friend?	По-настоящему близким другом?
line:df4d3810	About earlier.	Насчёт того, что я говорил.
line:1a5e1ba4	Act what way?	Как именно?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	После его внезапного возгорания я счёл нужным оставить его в покое.
line:a983ffa3	Again...?	Опять...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	Согласен, хотя всё же предпочёл бы поскорее оказаться внутри.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	А, да, вот так... Продолжай.
line:e216aee0	Ah, good.	А, хорошо.
line:9b26ac5f	Ah, I see the button there, gotcha!	А, вижу вон ту кнопку. Понял!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ах, простите. Меня увлекают подобные темы.
line:bf2a8309	Ah, the grime did sting a little, thank you.	А, от грязи и правда немного щипало. Спасибо.
line:ebdb9888	Ah, yeah, those types are pretty cute.	А, да, такие бывают очень милыми.
line:b920f205	Ah. Do not worry.	А. Не беспокойтесь.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	А. Ну ладно, тогда беру извинения обратно.
line:6de2c490	Ah...	А...
