# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Chào chó bự.
line:918d7820	'Ey big kobold.	Chào kobold bự.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	«Nghĩ», «trên đường đến đây»? Vậy trước đó ông chưa dính mực...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	«Có thể chứ». Không điều gì khiến tôi chắc chắn hơn.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	«Có thể chứ». Không điều gì khiến tôi chắc chắn hơn.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	...Và sắp tới giờ lên lớp.
line:4815d919	... Being a bit of a jerk honestly.	...Thật ra là cư xử hơi khốn nạn.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	...Tôi tưởng chúng tôi là bạn tốt. Chúng tôi làm tình suốt mà!
line:1bebf328	... Thank you..	...Cảm ơn...
line:a8eb78ed	... you're done? I'm still dirty..	...Xong rồi? Tôi vẫn bẩn...
line:ef611d11	... you're done? I'm still soapy..	...Xong rồi? Tôi vẫn đầy xà phòng...
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>Ít nhất tôi thích anh ấy.
line:e2ea4ead	...A wash for our date tonight.	...Tắm cho buổi hẹn tối nay của chúng ta.
line:048d7f84	...About what I said earlier.	...Về chuyện tôi nói lúc nãy.
line:55d1f6ef	...and nice.	...Và tốt bụng.
line:79a1a205	...But not in like a bad weird way.	...Nhưng không theo kiểu xấu hay kỳ quặc đâu.
line:3592632e	...It's intimidating knowing how much they look up to me.	...Biết họ ngưỡng mộ mình đến đâu cũng khiến tôi sợ.
line:7e08544c	...It's odd being able to speak so freely with someone.	...Thật lạ khi được nói chuyện thoải mái như thế với ai đó.
line:f0cb8389	...No	...Không.
line:92601622	...Okay, come in	...Được, vào đi.
line:e381559c	...Thank you for this.	...Cảm ơn cậu về chuyện này.
line:b7b5f7fb	...Thanks.	...Cảm ơn.
