# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Salut, gros toutou.
line:918d7820	'Ey big kobold.	Salut, grand kobold.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	Vous « croyez » ? « En venant ici » ? Donc vous n'étiez pas couvert d'encre avant...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	Tout à fait possible. Je n'ai aucune certitude plus absolue.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	Tout à fait possible. Je n'ai aucune certitude plus absolue.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... Un cours que je dois donner très bientôt, d'ailleurs.
line:4815d919	... Being a bit of a jerk honestly.	... Je jouais un peu au con, franchement.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	... Je croyais qu'on était de bons amis. On couche ensemble tout le temps !
line:1bebf328	... Thank you..	... Merci..
line:a8eb78ed	... you're done? I'm still dirty..	... T'as fini ? Je suis encore sale..
line:ef611d11	... you're done? I'm still soapy..	... T'as fini ? Je suis encore plein de savon..
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>Moi, j'en ai un pour lui, en tout cas.
line:e2ea4ead	...A wash for our date tonight.	... Un bain pour notre rendez-vous de ce soir.
line:048d7f84	...About what I said earlier.	... À propos de ce que je disais tout à l'heure.
line:55d1f6ef	...and nice.	... Et gentil.
line:79a1a205	...But not in like a bad weird way.	... Mais pas dans un sens malsain ou bizarre.
line:3592632e	...It's intimidating knowing how much they look up to me.	... C'est intimidant de savoir à quel point ils m'admirent.
line:7e08544c	...It's odd being able to speak so freely with someone.	... Il est étrange de pouvoir parler aussi librement avec quelqu'un.
line:f0cb8389	...No	... Non.
line:92601622	...Okay, come in	... D'accord, entre.
line:e381559c	...Thank you for this.	... Merci pour tout cela.
line:b7b5f7fb	...Thanks.	... Merci.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Avez-vous parlé de Ryan à Conrad ?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Je connais un dragon, Ryan. Je pourrais vous mettre en contact ? </b></gradient><size=70%>(Débloque la rencontre Conrad/Ryan OU la romance avec Ryan)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Moi, ça me plairait de passer du temps avec toi... </b></gradient><size=70%> (Débloque la romance avec Conrad)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Avec plaisir ! </b></gradient><size=70%> (Mène à la romance avec Alexander !)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Je serai occupé ce soir. Désolé. </b></gradient><size=70%> (Mène à une fin sans romance !)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Personne ne me vient à l'esprit.</b></gradient><size=70%> (Confirme la romance avec Conrad !)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Je connais un dragon rouge. Je crois qu'il te plairait ! </b></gradient><size=70%> (Rapproche Ryan et Conrad !)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Oh. Euh. <size=70%> Ça me plairait... d'être ce quelqu'un. </b></gradient><size=70%> (Confirme la romance avec Ryan !)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>HÉ ! </gradient><size=100%>C'est ici qu'on se fait laver, ouais ?
line:c777ce0c	<i> that feels nice...</i>	<i>C'est agréable...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Oh non... Et les livres.
line:d67b1098	<i>I like spraying you with water.	<i>J'aime bien t'arroser.
line:ad5d633a	<i>Oh...	<i>Oh...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Oh.</i> Je ne pense pas être prêt pour cela.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>Ooooh. </i>Le chevalet ? Putain, ouais, mon pote.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>Ça</i>, ce n'est pas ta faute, Conrad.
line:72b244b7	<size=100%> That felt damn good!	<size=100%>Ça faisait un bien fou !
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>Enfin... Cool.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>PUTAIN, OUI !
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>HÉ, <size=100%>je viens me faire laver.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>PUTAIN, OUI !
line:f5462edf	<size=60%> that's hot.	<size=60%>C'est sexy.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>Un grand dragon qui me donne le contrôle. Ouah.
line:53d71f27	<size=70%> And for me.	<size=70%>Et pour moi.
line:4fe271cc	<size=70%> woah.	<size=70%>Ouah.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>Putain, je viens de décrocher un rendez-vous avec un dragon.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>Mais agréable... Merci.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>Ne vous privez pas de continuer...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>Oh...</i> Non, au contraire, ça me fait vraiment plaisir.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>Ouah...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>Ah oui ?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>Je continue à les payer.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	Il y a quelques jours...
line:c570a462	A rather good excuse to see my favorite kobold.	Une excellente excuse pour voir mon kobold préféré.
line:5d2d16e0	A really good friend?	un très bon ami ?
line:df4d3810	About earlier.	Pour ce que je disais tout à l'heure.
line:1a5e1ba4	Act what way?	Comme quoi ?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	Après sa combustion spontanée, j'ai pris soin de lui laisser un peu d'intimité.
line:a983ffa3	Again...?	Encore... ?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	J'en conviens, mais j'aimerais tout de même entrer dès que possible.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	Ah ouais, c'est ça... Continue.
line:e216aee0	Ah, good.	Ah, bien.
line:9b26ac5f	Ah, I see the button there, gotcha!	Ah, je vois le bouton. Compris !
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	Ah, pardon, ces sujets me passionnent.
line:bf2a8309	Ah, the grime did sting a little, thank you.	Ah, cette crasse me piquait un peu. Merci.
line:ebdb9888	Ah, yeah, those types are pretty cute.	Ah oui, ce genre de gars est plutôt mignon.
line:b920f205	Ah. Do not worry.	Ah. Ne vous inquiétez pas.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	Ah. Bon, oublie, je suis plus désolé alors.
line:6de2c490	Ah...	Ah...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	Ah, tout propre et un peu moins chargé.
line:20f96302	Alexander!	Alexander !
line:f167e3d7	Alexander!	Alexander !
line:fe3996b8	Alexander!	Alexander !
line:af7db134	Alexander...?	Alexander... ?
line:eb7cf9e5	All clean...	Tout propre...
line:f57fc630	All done!	Terminé !
line:0b734d82	All self respecting washers know how to please a dragon.	Tout laveur qui se respecte sait faire plaisir à un dragon.
line:599ffb25	Already got seats at that bar I mentioned earlier.	J'ai déjà nos places dans le bar dont je t'ai parlé.
line:642ddea3	Alright alright... Then I think I'd like to use it?	Très bien, très bien... Alors, je crois que j'aimerais l'utiliser ?
line:c7b3a185	Alright! I'll go get the gate.	D'accord ! Je vais ouvrir le portail.
line:7279121a	Alright! I'll go get you the gate.	D'accord ! Je vais vous ouvrir le portail.
line:4fc4259c	Alright! I'm ready to go.	Allez ! Je suis prêt à partir.
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	Allez, ouvre le portail et je pars devant !
line:d04df8f8	Alright, I'll cya!	Bon, à plus !
line:4766af08	Alrighty! That should be it.	Voilà ! Ça devrait être bon.
line:797ca540	Alrighty. All clean.	Voilà. Tout propre.
line:c4cb161a	Although grapes have always hit a specific craving.	Même si le raisin satisfait toujours une envie bien particulière.
line:dc237557	Although, the portions might be a bit... dragon sized.	Même si les portions sont peut-être un peu... à la taille d'un dragon.
line:655b8c01	Always happy to have you, Conrad.	Tu es toujours le bienvenu, Conrad.
line:afedd1f5	An anomaly.	Une anomalie.
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	Et je suis content que t'aies une trousse de secours... T'as tout prévu.
line:0699aef9	And I'm really happy for you and Conrad.	Et je suis vraiment heureux pour toi et Conrad.
line:a3a26459	And not just physically.	Et pas seulement parce qu'ils lèvent les yeux vers moi.
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	Et c'est pour ça que je suis là ! Après le bain, je file le retrouver.
line:33440e8c	And why you are perfect for this job!	Et ce qui fait de vous le kobold idéal pour ce travail !
line:cacb93ce	And you've tried everything.	Et que tu as tout essayé.
line:8cae6240	Another dragon? Usually I don't really get along...	Un autre dragon ? En général, ça se passe pas trop bien...
line:5a7e4fd4	Any chance you can clean me up again?	Tu pourrais me laver encore une fois ?
line:92d2a30a	Anything. I'm just curious.	Ce que vous voulez. Je suis simplement curieux.
line:52695aa2	Anything?	Tout ?
line:8ead9ee9	Anytime, Ryan.	Quand tu veux, Ryan.
line:6d77feef	Anyway glad you're not finished, lets keep at it!	Enfin, content que tu n'aies pas fini. On continue !
line:bdb4f59c	Anyway, time to get writing!	Bref, il est temps de se mettre à écrire !
line:75dd56ae	Anyways,	Bref,
line:8980260e	Anyways-	Enfin...
line:a8e6291c	Anyways- Let me out.	Bref, fais-moi sortir.
line:493a82ef	Anyways. Could you go get the gate?	Bref. Tu peux aller ouvrir le portail ?
line:926f5f41	Anyways. Gonna use this thing now!	Bref. Je vais me servir de ce truc !
line:ad8ab02e	Anyways...	Bref...
line:e767dc51	Anywho, I'll get out of your scales now.	Enfin, je vais vous laisser tranquille.
line:e81426c1	Anywho, I'm in need of a clean.	Enfin, j'ai besoin d'un bain.
line:23e7d518	Approach the dragon entrance, and I will let you in.	Présentez-vous à l'entrée des dragons, je vous laisserai entrer.
line:72a9b5bb	Are you happy?	Êtes-vous heureux ?
line:be0118cc	Are you okay?	Ça va ?
line:de735c65	Are you open right now?	Êtes-vous ouvert en ce moment ?
line:9369755d	Are you sure it will fit?	Tu es sûr que ça va rentrer ?
line:c35b717a	Are you sure...? In front of the food?	Tu es sûr... ? Devant la nourriture ?
line:cb06d2bf	As am I.	Moi de même.
line:9a48b21c	As in you're unique.	Dans le sens où vous êtes unique.
line:1c021ee0	At getting hand jobs.	Pour me faire branler.
line:e861b464	At least that's what I've heard anyway.	Enfin, c'est ce qu'on m'a dit.
line:2f54ceec	At least you can still use your hands. Heh.	Au moins, tu peux toujours te servir de tes mains. Hé.
line:cb04e062	At least you can still use your hands. Heh.	Au moins, tu peux toujours te servir de tes mains. Hé.
line:97792929	Aw, I'll go get you the gate.	Oh, je vais t'ouvrir le portail.
line:c6895517	Aw, Ryan.	Oh, Ryan.
line:db997182	Aw, thank you Alexander.	Oh, merci, Alexander.
line:7157db26	Aw, thanks Alexander.	Oh, merci, Alexander.
line:011f1458	Aw, thanks.	Oh, merci.
line:aea0be6b	Aw, thanks.	Oh, merci.
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	Oh, merci. C'est grâce à tes bains que je suis aussi beau !
