# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	嘿，大狗狗。
line:918d7820	'Ey big kobold.	嘿，大狗頭人。
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	「想」、「來這裡的路上」？所以你本來沒有沾到墨水……
line:15bcd86c	'Yes way', There is nothing I am more certain of.	「就是可能」。沒有什麼比這更讓我確信的了。
line:4d49ae72	'Yes way', There is nothing I am more certain of.	「就是可能」。沒有什麼比這更讓我確信的了。
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	……
line:8c0e2d04	..	……
line:b36eb839	..	……
line:03d2f0bb	...	……
line:045f5836	...	……
line:1113335e	...	……
line:227eda5e	...	……
line:30a74521	...	……
line:4810891f	...	……
line:4da86a7a	...	……
line:610824ef	...	……
line:6757e4a0	...	……
line:695ef750	...	……
line:7426a997	...	……
line:759a495e	...	……
line:7e189c92	...	……
line:812700a5	...	……
line:848f5cd8	...	……
line:85f39b27	...	……
line:9504ba33	...	……
line:a6531779	...	……
line:b59e9091	...	……
line:b7f0551c	...	……
line:c272e55f	...	……
line:cdb8d8db	...	……
line:cfe4b91d	...	……
line:d6483230	...	……
line:d90d368f	...	……
line:d9516fdd	...	……
line:dd197e7c	...	……
line:decf872a	...	……
line:e9d40a5c	...	……
line:20f87f8d	... A class which I'm teaching rather soon.	……而且很快就要上課了。
line:4815d919	... Being a bit of a jerk honestly.	……老實說，就是有點混蛋。
line:11bfce3b	... I thought we were good friends, we have sex all the time!	……我以為我們是好朋友，我們明明常常上床！
line:1bebf328	... Thank you..	……謝謝你……
line:a8eb78ed	... you're done? I'm still dirty..	……洗好了？我還很髒啊……
line:ef611d11	... you're done? I'm still soapy..	……洗好了？我身上還有泡沫……
line:496134bc	...!	……！
line:7cc45755	...!	……！
line:6585925d	...<i><size=70%>I have one on him at least.	……<i><size=70%>至少我暗戀他。
line:e2ea4ead	...A wash for our date tonight.	……為今晚的約會洗個澡。
line:048d7f84	...About what I said earlier.	……關於我剛才說的。
line:55d1f6ef	...and nice.	……人也很好。
line:79a1a205	...But not in like a bad weird way.	……但不是那種負面又奇怪的意思。
line:3592632e	...It's intimidating knowing how much they look up to me.	……知道他們如此仰望我，也讓人有些惶恐。
line:7e08544c	...It's odd being able to speak so freely with someone.	……能跟一個人這樣暢所欲言，真奇妙。
line:f0cb8389	...No	……不行
line:92601622	...Okay, come in	……好，進來吧。
line:e381559c	...Thank you for this.	……謝謝你。
line:b7b5f7fb	...Thanks.	……謝謝。
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>你有向康拉德推薦萊恩嗎？
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> 我認識一條龍，叫萊恩。可以幫你們牽個線？ </b></gradient><size=70%>（解鎖康拉德／萊恩配對，或萊恩戀愛路線）
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> 我可以陪你出去玩啊…… </b></gradient><size=70%>（解鎖康拉德戀愛路線）
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> 我很樂意！ </b></gradient><size=70%>（將進入亞歷山大的戀愛路線！）
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> 我今晚有事。抱歉。 </b></gradient><size=70%>（不會進入戀愛路線！）
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>我一時想不到有誰。</b></gradient><size=70%>（確定進入康拉德戀愛路線！）
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>我認識一條紅龍，你應該會喜歡他！</b></gradient><size=70%>（撮合萊恩與康拉德！）
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>喔。嗯。<size=70%>如果那個人是我……我很樂意。</b></gradient><size=70%>（確定進入萊恩戀愛路線！）
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>嘿！</gradient><size=100%>這裡是洗澡的地方，對吧？
line:c777ce0c	<i> that feels nice...</i>	<i>好舒服……</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>糟了……還有書。
line:d67b1098	<i>I like spraying you with water.	<i>我喜歡用水噴你。
line:ad5d633a	<i>Oh...	<i>喔……
