# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Čau, hafane.
line:918d7820	'Ey big kobold.	Čau, velkej kobolde.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	„Myslím“, „cestou sem“? Takže předtím jste od inkoustu nebyl...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	„To snad ano.“ Ničím si nejsem jistější.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	„To snad ano.“ Ničím si nejsem jistější.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... A zanedlouho mám hodinu.
line:4815d919	... Being a bit of a jerk honestly.	...Upřímně jsem byl trochu kretén.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	...Myslel jsem, že jsme dobří kámoši. Vždyť spolu pořád máme sex!
line:1bebf328	... Thank you..	...Děkuju...
line:a8eb78ed	... you're done? I'm still dirty..	...Už jsi skončil? Pořád jsem špinavej...
line:ef611d11	... you're done? I'm still soapy..	...Už jsi skončil? Pořád jsem od mýdla...
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>Mně se teda líbí určitě.
line:e2ea4ead	...A wash for our date tonight.	...Umytí před naším dnešním randem.
line:048d7f84	...About what I said earlier.	...K tomu, co jsem předtím říkal.
line:55d1f6ef	...and nice.	...a milej.
line:79a1a205	...But not in like a bad weird way.	...Ale ne nějak zle nebo divně.
line:3592632e	...It's intimidating knowing how much they look up to me.	...Je děsivé vědět, jak moc ke mně vzhlížejí.
line:7e08544c	...It's odd being able to speak so freely with someone.	...Je zvláštní moci s někým mluvit tak otevřeně.
line:f0cb8389	...No	...Ne.
line:92601622	...Okay, come in	...Dobře, pojď dál.
line:e381559c	...Thank you for this.	... Děkuji vám za to.
line:b7b5f7fb	...Thanks.	... Díky.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Doporučil jsi Conradovi Ryana?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Znám jednoho draka, Ryana. Mohl bych vás seznámit? </b></gradient><size=70%>(Odemkne vztah Conrada a Ryana NEBO románek s Ryanem)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> Klidně bych s tebou někam zašel... </b></gradient><size=70%> (Odemkne románek s Conradem)
