# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	E aí, cachorrão.
line:918d7820	'Ey big kobold.	E aí, grande kobold.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	"Acha"? "No caminho para cá"? Então não estava coberto de tinta antes...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	É possível, sim. Não há nada de que eu tenha mais certeza.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	É possível, sim. Não há nada de que eu tenha mais certeza.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... Uma aula que começa muito em breve, por sinal.
line:4815d919	... Being a bit of a jerk honestly.	... Sendo meio babaca, pra falar a verdade.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	... Achei que a gente fosse amigo de verdade, a gente transa o tempo todo!
line:1bebf328	... Thank you..	... Obrigado..
line:a8eb78ed	... you're done? I'm still dirty..	... Terminou? Ainda tô sujo..
line:ef611d11	... you're done? I'm still soapy..	... Terminou? Ainda tô cheio de sabão..
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>Pelo menos eu tô a fim dele.
line:e2ea4ead	...A wash for our date tonight.	... Um banho pro nosso encontro de hoje à noite.
line:048d7f84	...About what I said earlier.	... Sobre o que eu disse antes.
line:55d1f6ef	...and nice.	... E gentil.
line:79a1a205	...But not in like a bad weird way.	... Mas não de um jeito ruim ou esquisito.
line:3592632e	...It's intimidating knowing how much they look up to me.	... É intimidante saber o quanto me admiram.
line:7e08544c	...It's odd being able to speak so freely with someone.	... É estranho poder falar tão livremente com alguém.
line:f0cb8389	...No	... Não.
