# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	ไง เจ้าหมาตัวโต
line:918d7820	'Ey big kobold.	ไง เจ้าโคโบลด์ตัวโต
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	“คิดว่า” “ระหว่างทางมานี่”? งั้นก่อนหน้านี้ก็ไม่ได้เปื้อนหมึก...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	“มีทางสิ” ไม่มีอะไรที่ผมมั่นใจมากกว่านี้แล้ว
line:4d49ae72	'Yes way', There is nothing I am more certain of.	“มีทางสิ” ไม่มีอะไรที่ผมมั่นใจมากกว่านี้แล้ว
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	...และอีกไม่นานก็ต้องไปสอน
line:4815d919	... Being a bit of a jerk honestly.	...พูดจริงๆ ก็เป็นไอ้เวรหน่อยๆ
line:11bfce3b	... I thought we were good friends, we have sex all the time!	...ฉันนึกว่าเราเป็นเพื่อนสนิทกัน เรามีเซ็กซ์กันตลอด!
line:1bebf328	... Thank you..	...ขอบคุณ...
line:a8eb78ed	... you're done? I'm still dirty..	...เสร็จแล้วเหรอ? ฉันยังสกปรก...
line:ef611d11	... you're done? I'm still soapy..	...เสร็จแล้วเหรอ? ฉันยังมีสบู่...
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>อย่างน้อยฉันก็แอบชอบเขา
line:e2ea4ead	...A wash for our date tonight.	...อาบน้ำเตรียมไปเดตของเราคืนนี้
line:048d7f84	...About what I said earlier.	...เรื่องที่ผมพูดเมื่อกี้
line:55d1f6ef	...and nice.	...แล้วก็ใจดี
line:79a1a205	...But not in like a bad weird way.	...แต่ไม่ได้แบบร้ายๆ หรือแปลกๆ นะ
line:3592632e	...It's intimidating knowing how much they look up to me.	...แต่รู้ว่าพวกเขายกย่องผมแค่ไหนก็น่ากลัว
line:7e08544c	...It's odd being able to speak so freely with someone.	...แปลกดีที่ได้คุยกับใครอย่างอิสระขนาดนี้
line:f0cb8389	...No	...ไม่
line:92601622	...Okay, come in	...ได้ เข้ามาสิ
line:e381559c	...Thank you for this.	...ขอบคุณสำหรับเรื่องนี้
line:b7b5f7fb	...Thanks.	...ขอบคุณ
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>คุณแนะนำไรอันให้คอนราดหรือเปล่า?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> ผมรู้จักมังกรชื่อไรอัน ให้แนะนำพวกคุณไหม? </b></gradient><size=70%>(ปลดล็อกคู่คอนราด/ไรอัน หรือเส้นทางรักกับไรอัน)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> ผมก็อยากไปเที่ยวด้วยนะ... </b></gradient><size=70%> (ปลดล็อกเส้นทางรักกับคอนราด)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> ผมยินดี! </b></gradient><size=70%> (นำไปสู่เส้นทางรักกับอเล็กซานเดอร์!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> คืนนี้ผมไม่ว่าง ขอโทษนะ </b></gradient><size=70%> (นำไปสู่ตอนจบที่ไม่มีคู่รัก!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>ตอนนี้ยังนึกไม่ออกว่ามีใคร</b></gradient><size=70%> (ยืนยันเส้นทางรักกับคอนราด!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>ผมรู้จักมังกรสีแดงตัวหนึ่ง คิดว่าคุณต้องชอบเขา! </b></gradient><size=70%> (จับคู่ไรอันกับคอนราด!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>อ๋อ เอ่อ <size=70%> ผมก็อยากนะ... ถ้าคนคนนั้นเป็นผม </b></gradient><size=70%> (ยืนยันเส้นทางรักกับไรอัน!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>เฮ้! </gradient><size=100%>ที่นี่รับอาบน้ำใช่ไหม?
line:c777ce0c	<i> that feels nice...</i>	<i>สบายจัง...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>อุ๊ย... แล้วก็หนังสือ
line:d67b1098	<i>I like spraying you with water.	<i>ผมชอบฉีดน้ำใส่คุณ
line:ad5d633a	<i>Oh...	<i>อ๋อ...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>อ๋อ</i> ผมคิดว่ายังไม่พร้อมกับเรื่องนั้น
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>โอ้ </i>แท่นเหรอ? แม่ง เอาสิเพื่อน
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>เรื่องนี้</i>ไม่ใช่ความผิดคุณ คอนราด
line:72b244b7	<size=100%> That felt damn good!	<size=100%> โคตรดีเลย!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>หมายถึง... เจ๋ง
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> แม่ง ใช่เลย!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>เฮ้ <size=100%>ฉันอยากอาบน้ำ
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>เย็ดเข้ เยี่ยมเลย!
line:f5462edf	<size=60%> that's hot.	<size=60%>เซ็กซี่จัง
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>มังกรตัวใหญ่ให้ผมควบคุม โห
line:53d71f27	<size=70%> And for me.	<size=70%> แล้วก็เพื่อผม
line:4fe271cc	<size=70%> woah.	<size=70%>โห
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>โคตรเจ๋ง เพิ่งได้นัดเดตกับมังกร
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>แต่สบายดี... ขอบคุณ
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>ทำต่อได้เลยนะ...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>อ๊ะ...</i> ไม่เลย จริงๆ ดีมากเลยนะ
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>โห...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>จริงเหรอ?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>ผมยังจ่ายเงินเดือนให้พวกเขาอยู่
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	เมื่อไม่กี่วันก่อน...
line:c570a462	A rather good excuse to see my favorite kobold.	เป็นข้ออ้างที่ดีในการมาเจอโคโบลด์คนโปรด
line:5d2d16e0	A really good friend?	เพื่อนที่ดีมากๆ?
