# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	喂，大狗。
line:918d7820	'Ey big kobold.	喂，大狗頭人。
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	「諗」、「嚟呢度途中」？即係之前你未沾到墨水……
line:15bcd86c	'Yes way', There is nothing I am more certain of.	「就係咁」。冇任何事比呢樣更令我肯定。
line:4d49ae72	'Yes way', There is nothing I am more certain of.	「就係咁」。冇任何事比呢樣更令我肯定。
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	……
line:8c0e2d04	..	……
line:b36eb839	..	……
line:03d2f0bb	...	……
line:045f5836	...	……
line:1113335e	...	……
line:227eda5e	...	……
line:30a74521	...	……
line:4810891f	...	……
line:4da86a7a	...	……
line:610824ef	...	……
line:6757e4a0	...	……
line:695ef750	...	……
line:7426a997	...	……
line:759a495e	...	……
line:7e189c92	...	……
line:812700a5	...	……
line:848f5cd8	...	……
line:85f39b27	...	……
line:9504ba33	...	……
line:a6531779	...	……
line:b59e9091	...	……
line:b7f0551c	...	……
line:c272e55f	...	……
line:cdb8d8db	...	……
line:cfe4b91d	...	……
line:d6483230	...	……
line:d90d368f	...	……
line:d9516fdd	...	……
line:dd197e7c	...	……
line:decf872a	...	……
line:e9d40a5c	...	……
line:20f87f8d	... A class which I'm teaching rather soon.	……而且我好快就要上堂。
line:4815d919	... Being a bit of a jerk honestly.	……講真，即係有啲仆街。
line:11bfce3b	... I thought we were good friends, we have sex all the time!	……我以為我哋係好朋友，我哋成日上床㗎！
line:1bebf328	... Thank you..	……多謝……
line:a8eb78ed	... you're done? I'm still dirty..	……洗完喇？我仲好污糟……
line:ef611d11	... you're done? I'm still soapy..	……洗完喇？我仲成身梘泡……
line:496134bc	...!	……！
line:7cc45755	...!	……！
line:6585925d	...<i><size=70%>I have one on him at least.	……<i><size=70%>至少我暗戀佢。
line:e2ea4ead	...A wash for our date tonight.	……為咗我哋今晚嘅約會沖涼。
line:048d7f84	...About what I said earlier.	……關於我頭先講嗰件事。
line:55d1f6ef	...and nice.	……人又好。
line:79a1a205	...But not in like a bad weird way.	……不過唔係啲唔好、奇怪嗰種。
line:3592632e	...It's intimidating knowing how much they look up to me.	……知道佢哋咁仰望我，亦令我有啲畏懼。
line:7e08544c	...It's odd being able to speak so freely with someone.	……可以咁自在同人傾偈，感覺好奇妙。
line:f0cb8389	...No	……唔好。
line:92601622	...Okay, come in	……好，入嚟啦。
line:e381559c	...Thank you for this.	……今次多謝你。
line:b7b5f7fb	...Thanks.	……多謝。
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>你有冇向康拉德介紹賴恩？
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> 我識條龍，叫賴恩。不如介紹你哋識？ </b></gradient><size=70%>（解鎖康拉德／賴恩配對或賴恩戀愛路線）
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> 我唔介意同你一齊玩…… </b></gradient><size=70%> （解鎖康拉德戀愛路線）
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> 我好樂意！ </b></gradient><size=70%> （開啟亞歷山大戀愛路線！）
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> 我今晚有嘢忙。對唔住。 </b></gradient><size=70%> （不進入戀愛路線！）
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>一時間諗唔到有邊個。</b></gradient><size=70%> （確定康拉德戀愛路線！）
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>我識條紅龍。我諗你會鍾意佢！ </b></gradient><size=70%> （撮合賴恩同康拉德！）
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>哦。呃。<size=70%> 我唔介意……做嗰個人。 </b></gradient><size=70%> （確定賴恩戀愛路線！）
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>喂！</gradient><size=100%>呢度係沖涼嗰間，係咪？
line:c777ce0c	<i> that feels nice...</i>	<i> 好舒服……</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>哎呀……仲有啲書。
line:d67b1098	<i>I like spraying you with water.	<i>我鍾意用水噴你。
line:ad5d633a	<i>Oh...	<i>哦……
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>哦。</i>我諗我仲未準備好。
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>哦……</i>交配架？梗係好啦，老友。
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	康拉德，<i>今次</i>唔係你嘅錯。
line:72b244b7	<size=100%> That felt damn good!	<size=100%> 真係舒服到爆！
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>我意思係——唔錯。
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%> 屌，爽呀！
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>喂，<size=100%>我嚟沖涼。
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>正呀！
line:f5462edf	<size=60%> that's hot.	<size=60%> 好性感。
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%> 一條大龍畀我控制。嘩。
line:53d71f27	<size=70%> And for me.	<size=70%> 我自己都有份。
line:4fe271cc	<size=70%> woah.	<size=70%> 嘩。
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>嘩，真係約到條龍同我去約會。
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>不過好舒服……多謝你。
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>請隨意繼續——</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>嘩——</i>唔會，其實我好開心。
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>嘩……
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>係咩？
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>我仲有照出糧畀佢哋。
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	幾日前……
line:c570a462	A rather good excuse to see my favorite kobold.	呢個係嚟見我最鍾意嘅狗頭人嘅好藉口。
line:5d2d16e0	A really good friend?	一個好好嘅朋友，會唔會好奇怪？
line:df4d3810	About earlier.	關於頭先。
line:1a5e1ba4	Act what way?	點樣呀？
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	佢自燃之後，我有確保佢得到私人空間。
line:a983ffa3	Again...?	又嚟……？
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	同意，不過方便嘅話，我都想快啲入去。
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	啊，係喇，就係咁……繼續。
line:e216aee0	Ah, good.	啊，好。
line:9b26ac5f	Ah, I see the button there, gotcha!	啊，我見到嗰邊個掣喇，明白！
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	啊，抱歉，我對呢啲事好有熱誠。
line:bf2a8309	Ah, the grime did sting a little, thank you.	啊，頭先啲污垢的確有啲刺痛，多謝。
line:ebdb9888	Ah, yeah, those types are pretty cute.	啊，係呀，呢類型幾可愛。
line:b920f205	Ah. Do not worry.	啊，唔使介懷。
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	啊，好。咁我收返頭先句唔好意思。
line:6de2c490	Ah...	啊……
line:4d6b365e	Ahh, all cleaned and with a lighter load.	啊，洗乾淨晒，連存貨都清咗啲。
line:20f96302	Alexander!	亞歷山大！
line:f167e3d7	Alexander!	亞歷山大！
line:fe3996b8	Alexander!	亞歷山大！
line:af7db134	Alexander...?	亞歷山大……？
line:eb7cf9e5	All clean...	乾淨晒……
line:f57fc630	All done!	搞掂晒！
line:0b734d82	All self respecting washers know how to please a dragon.	有返啲專業尊嚴嘅洗龍師傅，都知點令條龍舒服。
line:599ffb25	Already got seats at that bar I mentioned earlier.	頭先提過嗰間酒吧，我已經留咗位。
line:642ddea3	Alright alright... Then I think I'd like to use it?	好，好……咁我想用吓？
line:c7b3a185	Alright! I'll go get the gate.	好！我去開閘。
line:7279121a	Alright! I'll go get you the gate.	好！我幫你開閘。
line:4fc4259c	Alright! I'm ready to go.	好！我準備好走喇。
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	好，去開閘啦，我先去嗰度！
line:d04df8f8	Alright, I'll cya!	好，遲啲見！
line:4766af08	Alrighty! That should be it.	好！應該洗好喇。
line:797ca540	Alrighty. All clean.	好喇，洗乾淨晒。
line:c4cb161a	Although grapes have always hit a specific craving.	不過提子成日都特別啱我胃口。
line:dc237557	Although, the portions might be a bit... dragon sized.	不過份量可能有啲……龍咁大。
line:655b8c01	Always happy to have you, Conrad.	康拉德，你嚟我就開心。
line:afedd1f5	An anomaly.	一個異數。
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	仲有，好彩你有急救箱……你準備得好周到。
line:0699aef9	And I'm really happy for you and Conrad.	而且我真係好替你同康拉德開心。
line:a3a26459	And not just physically.	唔單止係身高方面。
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	所以我先嚟呢度！沖完涼就出去見佢。
line:33440e8c	And why you are perfect for this job!	亦都係你最適合做呢件事嘅原因！
line:cacb93ce	And you've tried everything.	你又已經乜都試過。
line:8cae6240	Another dragon? Usually I don't really get along...	另一條龍？通常我同其他龍唔係好夾……
line:5a7e4fd4	Any chance you can clean me up again?	可唔可以再幫我洗一次？
line:92d2a30a	Anything. I'm just curious.	乜都得。我只係好奇。
line:52695aa2	Anything?	乜都得？
line:8ead9ee9	Anytime, Ryan.	隨時都得，賴恩。
line:6d77feef	Anyway glad you're not finished, lets keep at it!	總之，好彩你仲未洗完，繼續啦！
line:bdb4f59c	Anyway, time to get writing!	總之，係時候開始寫嘢喇！
line:75dd56ae	Anyways,	總之，
line:8980260e	Anyways-	總之——
line:a8e6291c	Anyways- Let me out.	總之——畀我出去啦。
line:493a82ef	Anyways. Could you go get the gate?	總之，可唔可以幫我開閘？
line:926f5f41	Anyways. Gonna use this thing now!	總之，我而家要用喇！
line:ad8ab02e	Anyways...	總之……
line:e767dc51	Anywho, I'll get out of your scales now.	總之，我而家唔阻你喇。
line:e81426c1	Anywho, I'm in need of a clean.	總之，我需要清洗。
line:23e7d518	Approach the dragon entrance, and I will let you in.	行到龍族入口，我會畀你入嚟。
line:72a9b5bb	Are you happy?	你開唔開心？
line:be0118cc	Are you okay?	你冇事吖嘛？
line:de735c65	Are you open right now?	你而家仲開緊嗎？
line:9369755d	Are you sure it will fit?	你肯定放得入？
line:c35b717a	Are you sure...? In front of the food?	你肯定……？當住啲嘢食？
line:cb06d2bf	As am I.	我亦一樣。
line:9a48b21c	As in you're unique.	意思係，你與眾不同。
line:1c021ee0	At getting hand jobs.	畀人打飛機嗰方面。
line:e861b464	At least that's what I've heard anyway.	至少我聽返嚟係咁。
line:2f54ceec	At least you can still use your hands. Heh.	至少你仲可以用手。嘿。
line:cb04e062	At least you can still use your hands. Heh.	至少你仲可以用手。嘿。
line:97792929	Aw, I'll go get you the gate.	啊，我幫你開閘。
line:c6895517	Aw, Ryan.	唉，賴恩。
line:db997182	Aw, thank you Alexander.	啊，多謝你，亞歷山大。
line:7157db26	Aw, thanks Alexander.	啊，多謝，亞歷山大。
line:011f1458	Aw, thanks.	啊，多謝。
line:aea0be6b	Aw, thanks.	啊，多謝。
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	啊，多謝。我咁好睇，都係因為你幫我洗得咁乾淨！
line:453ff9be	Aw- Ryan...	唉——賴恩……
line:5340a315	Aw... Thanks!	啊……多謝！
line:c6202cf2	Aw... Thanks.	啊……多謝。
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	啊……多謝。如果我當你係……
line:2bfa396c	Aw... That's really sweet	啊……真係好窩心。
line:22053f7f	Awesome!	太好喇！
line:6fdb2c3d	Awesome!	太好喇！
line:70306ba1	Awesome!	太好喇！
line:6126a614	Awesome! Come on in..	太好喇！入嚟啦……
line:e85007ac	Awesome! See you later then!	太好喇！咁遲啲見！
line:4c7f15d6	Awesome, I'll go get the gate.	好呀，我去開閘。
line:9d126e4e	Awesome, I'm glad.	太好喇，我好開心。
line:b60cc4a5	Awesome.	太好喇。
line:59fb47b0	Awww. You don't need to be coverd in ink to say hi!	啊……唔使成身墨水，都可以嚟打招呼㗎！
line:8e20e028	Be yourself!	做返自己！
line:cd18f73f	Been looking forward to this.	我期待咗好耐。
line:8f1fccf9	Being muddy is really fun up until it starts drying.	成身泥幾好玩，不過開始乾就唔好玩喇。
line:40783547	Berries.	啲莓。
line:59d4be6a	Berries.	啲莓。
line:61e781c1	Berries.	啲莓。
line:18ae08ef	Bet you had fun.	你一定玩得好開心。
line:982fd3c7	big C...?	大 C……？
line:4b3f7c6a	Biology...? <size=70%> <i>I think?	生物學……？<size=70%> <i>我諗係？
line:9be63f47	Bleh. Thank you for grabbing that.	呼。唔該你幫我攞住。
line:66957ed2	Blue...?	藍色……？
line:a77c3afd	Both.	兩樣都係。
line:78975048	Brrr! Cold water!	嘶！啲水好凍！
line:8487a2c4	Burnswick Community College of Thaumaturgy	伯恩斯威克奇術社區學院
line:f75126de	But honestly you've helped me a lot.	不過講真，你幫咗我好多。
line:cab69268	But I already know I'm liking this a lot.	不過而家已經知道，我好鍾意咁。
