# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	嘿，大狗狗。
line:918d7820	'Ey big kobold.	嘿，大狗头人。
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	「想」、「来这里的路上」？所以你本来没有沾到墨水……
line:15bcd86c	'Yes way', There is nothing I am more certain of.	「就是可能」。没有什么比这更让我确信的了。
line:4d49ae72	'Yes way', There is nothing I am more certain of.	「就是可能」。没有什么比这更让我确信的了。
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	……
line:8c0e2d04	..	……
line:b36eb839	..	……
line:03d2f0bb	...	……
line:045f5836	...	……
line:1113335e	...	……
line:227eda5e	...	……
line:30a74521	...	……
line:4810891f	...	……
line:4da86a7a	...	……
line:610824ef	...	……
line:6757e4a0	...	……
line:695ef750	...	……
line:7426a997	...	……
line:759a495e	...	……
line:7e189c92	...	……
line:812700a5	...	……
line:848f5cd8	...	……
line:85f39b27	...	……
line:9504ba33	...	……
line:a6531779	...	……
line:b59e9091	...	……
line:b7f0551c	...	……
line:c272e55f	...	……
line:cdb8d8db	...	……
line:cfe4b91d	...	……
line:d6483230	...	……
line:d90d368f	...	……
line:d9516fdd	...	……
line:dd197e7c	...	……
line:decf872a	...	……
line:e9d40a5c	...	……
line:20f87f8d	... A class which I'm teaching rather soon.	……而且很快就要上课了。
line:4815d919	... Being a bit of a jerk honestly.	……老实说，就是有点混蛋。
line:11bfce3b	... I thought we were good friends, we have sex all the time!	……我以为我们是好朋友，我们明明常常上床！
line:1bebf328	... Thank you..	……谢谢你……
line:a8eb78ed	... you're done? I'm still dirty..	……洗好了？我还很脏啊……
line:ef611d11	... you're done? I'm still soapy..	……洗好了？我身上还有泡沫……
line:496134bc	...!	……！
line:7cc45755	...!	……！
line:6585925d	...<i><size=70%>I have one on him at least.	……<i><size=70%>至少我暗恋他。
line:e2ea4ead	...A wash for our date tonight.	……为今晚的约会洗个澡。
line:048d7f84	...About what I said earlier.	……关于我刚才说的。
line:55d1f6ef	...and nice.	……人也很好。
line:79a1a205	...But not in like a bad weird way.	……但不是那种负面又奇怪的意思。
line:3592632e	...It's intimidating knowing how much they look up to me.	……知道他们如此仰望我，也让人有些惶恐。
line:7e08544c	...It's odd being able to speak so freely with someone.	……能跟一个人这样畅所欲言，真奇妙。
line:f0cb8389	...No	……不行
line:92601622	...Okay, come in	……好，进来吧。
line:e381559c	...Thank you for this.	……谢谢你。
line:b7b5f7fb	...Thanks.	……谢谢。
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>你有向康拉德推荐莱恩吗？
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> 我认识一条龙，叫莱恩。可以帮你们牵个线？ </b></gradient><size=70%>（解锁康拉德／莱恩配对，或莱恩恋爱路线）
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> 我可以陪你出去玩啊…… </b></gradient><size=70%>（解锁康拉德恋爱路线）
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> 我很乐意！ </b></gradient><size=70%>（将进入亚历山大的恋爱路线！）
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> 我今晚有事。抱歉。 </b></gradient><size=70%>（不会进入恋爱路线！）
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>我一时想不到有谁。</b></gradient><size=70%>（确定进入康拉德恋爱路线！）
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>我认识一条红龙，你应该会喜欢他！</b></gradient><size=70%>（撮合莱恩与康拉德！）
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>喔。嗯。<size=70%>如果那个人是我……我很乐意。</b></gradient><size=70%>（确定进入莱恩恋爱路线！）
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>嘿！</gradient><size=100%>这里是洗澡的地方，对吧？
line:c777ce0c	<i> that feels nice...</i>	<i>好舒服……</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>糟了……还有书。
line:d67b1098	<i>I like spraying you with water.	<i>我喜欢用水喷你。
line:ad5d633a	<i>Oh...	<i>喔……
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>喔。</i>我想我还没准备好。
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>哦——。</i>交配架？操，好啊，老兄。
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	康拉德，<i>这件事</i>不是你的错。
line:72b244b7	<size=100%> That felt damn good!	<size=100%>舒服死了！
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>我是说——酷。
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>操，太爽啦！
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>嘿，<size=100%>我想洗个澡。
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>爽啦！
line:f5462edf	<size=60%> that's hot.	<size=60%>好性感。
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>一条大龙把主导权交给我。哇。
line:53d71f27	<size=70%> And for me.	<size=70%>也给我自己。
line:4fe271cc	<size=70%> woah.	<size=70%>哇。
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>天啊，我竟然约到一条龙了。
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>不过很舒服……谢谢你。
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>请继续，不用客气——</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>喔——</i>不会，其实这样超棒的。
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>哇……
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>是吗？
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>我还在照付他们薪水。
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	几天前……
line:c570a462	A rather good excuse to see my favorite kobold.	这可是来见我最喜欢的狗头人的好借口。
line:5d2d16e0	A really good friend?	一个非常好的朋友。
line:df4d3810	About earlier.	关于刚才。
line:1a5e1ba4	Act what way?	怎么样？
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	他突然烧起来之后，我就识相地让他独处了。
line:a983ffa3	Again...?	再来一次……？
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	同意，不过还是麻烦你方便的话，尽快让我进去。
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	啊，对，就是这样……继续。
line:e216aee0	Ah, good.	啊，很好。
line:9b26ac5f	Ah, I see the button there, gotcha!	啊，我看到那个按钮了，懂了！
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	啊，抱歉，我对这些事很有热情。
line:bf2a8309	Ah, the grime did sting a little, thank you.	啊，那些脏东西确实有点刺痛，谢谢。
line:ebdb9888	Ah, yeah, those types are pretty cute.	啊，对，那种类型挺可爱的。
line:b920f205	Ah. Do not worry.	啊，别放在心上。
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	啊，好吧，那我就不抱歉了。
line:6de2c490	Ah...	啊……
line:4d6b365e	Ahh, all cleaned and with a lighter load.	啊，洗干净了，存货也清了些。
line:20f96302	Alexander!	亚历山大！
line:f167e3d7	Alexander!	亚历山大！
line:fe3996b8	Alexander!	亚历山大！
line:af7db134	Alexander...?	亚历山大……？
line:eb7cf9e5	All clean...	都洗干净了……
line:f57fc630	All done!	全部好了！
line:0b734d82	All self respecting washers know how to please a dragon.	有点自尊的洗浴师，都知道怎么取悦一条龙。
line:599ffb25	Already got seats at that bar I mentioned earlier.	之前说的那间酒吧，座位已经订好了。
line:642ddea3	Alright alright... Then I think I'd like to use it?	好吧，好吧……那我想用一下？
line:c7b3a185	Alright! I'll go get the gate.	好！我去开门。
line:7279121a	Alright! I'll go get you the gate.	好！我去帮你开门。
line:4fc4259c	Alright! I'm ready to go.	好！我准备走了。
line:a722d0fa	Alright, go get the gate and I'll head out to the spot!	好，去开门吧，我先去那里！
line:d04df8f8	Alright, I'll cya!	好，那回头见！
line:4766af08	Alrighty! That should be it.	好啦！应该好了。
line:797ca540	Alrighty. All clean.	好啦，全洗干净了。
line:c4cb161a	Although grapes have always hit a specific craving.	不过葡萄总能满足我一种特别的嘴馋。
line:dc237557	Although, the portions might be a bit... dragon sized.	不过分量可能有点……龙族规格。
line:655b8c01	Always happy to have you, Conrad.	康拉德，我随时都欢迎你。
line:afedd1f5	An anomaly.	一个异数。
line:0de4fe62	And I'm glad you have a medkit... You're very prepared.	还有，幸好你有急救箱……你准备得很周全。
line:0699aef9	And I'm really happy for you and Conrad.	我也真的替你和康拉德感到高兴。
line:a3a26459	And not just physically.	而且不只是身高上的仰望。
line:507bd2b9	And that's why I'm here! Going to be heading out after this wash to go see him.	所以我才来这里！洗完澡就要去见他了。
line:33440e8c	And why you are perfect for this job!	也正因如此，你最适合帮这个忙！
line:cacb93ce	And you've tried everything.	而且你已经什么都试过了。
line:8cae6240	Another dragon? Usually I don't really get along...	另一条龙？我通常跟其他龙不太合……
line:5a7e4fd4	Any chance you can clean me up again?	能不能再帮我洗一次？
line:92d2a30a	Anything. I'm just curious.	什么都行。我只是好奇。
line:52695aa2	Anything?	什么都能说？
line:8ead9ee9	Anytime, Ryan.	随时都可以，莱恩。
line:6d77feef	Anyway glad you're not finished, lets keep at it!	总之，还没洗完就好，继续吧！
line:bdb4f59c	Anyway, time to get writing!	总之，该开始写了！
line:75dd56ae	Anyways,	总之，
line:8980260e	Anyways-	总之——
line:a8e6291c	Anyways- Let me out.	总之——让我出去。
line:493a82ef	Anyways. Could you go get the gate?	总之，可以帮我开门吗？
line:926f5f41	Anyways. Gonna use this thing now!	总之，我现在要用这玩意了！
line:ad8ab02e	Anyways...	总之……
line:e767dc51	Anywho, I'll get out of your scales now.	总之，我就不打扰你了。
line:e81426c1	Anywho, I'm in need of a clean.	总之，我需要洗个澡。
line:23e7d518	Approach the dragon entrance, and I will let you in.	走到龙族入口，我就会让你进来。
line:72a9b5bb	Are you happy?	你快乐吗？
line:be0118cc	Are you okay?	你还好吗？
line:de735c65	Are you open right now?	你们现在有营业吗？
line:9369755d	Are you sure it will fit?	你确定放得进去？
line:c35b717a	Are you sure...? In front of the food?	你确定……？在食物面前？
line:cb06d2bf	As am I.	我也是。
line:9a48b21c	As in you're unique.	也就是说，你很独特。
line:1c021ee0	At getting hand jobs.	被打手枪方面的专家。
line:e861b464	At least that's what I've heard anyway.	至少我听说是这样啦。
line:2f54ceec	At least you can still use your hands. Heh.	至少你还能用手。嘿。
line:cb04e062	At least you can still use your hands. Heh.	至少你还能用手。嘿。
line:97792929	Aw, I'll go get you the gate.	噢，我去帮你开门。
line:c6895517	Aw, Ryan.	噢，莱恩。
line:db997182	Aw, thank you Alexander.	哎呀，谢谢你，亚历山大。
line:7157db26	Aw, thanks Alexander.	哎呀，谢谢你，亚历山大。
line:011f1458	Aw, thanks.	噢，谢啦。
line:aea0be6b	Aw, thanks.	噢，谢啦。
line:c00d76cd	Aw, thanks. I only look so good 'cause of your washes!	噢，谢谢。都是你帮我洗澡，我才这么好看！
line:453ff9be	Aw- Ryan...	噢——莱恩……
line:5340a315	Aw... Thanks!	哎呀……谢谢！
line:c6202cf2	Aw... Thanks.	噢……谢谢。
line:cb1d1197	Aw... Thanks. Is it weird I consider you...	噢……谢谢。我把你当成……会不会很奇怪？
line:2bfa396c	Aw... That's really sweet	噢……真暖心。
line:22053f7f	Awesome!	太棒了！
line:6fdb2c3d	Awesome!	太棒了！
line:70306ba1	Awesome!	太棒了！
line:6126a614	Awesome! Come on in..	太棒了！进来吧……
line:e85007ac	Awesome! See you later then!	太棒了！那晚点见！
line:4c7f15d6	Awesome, I'll go get the gate.	太好了，我去开门。
