# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Ehi, cagnone.
line:918d7820	'Ey big kobold.	Ehi, gran coboldo.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	«Credo», «mentre venivo qui»? Quindi prima non era coperto d'inchiostro...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	Possibilissimo. Non c'è nulla di cui sia più certo.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	Possibilissimo. Non c'è nulla di cui sia più certo.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	...
line:8c0e2d04	..	...
line:b36eb839	..	...
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... E tra poco ho lezione.
line:4815d919	... Being a bit of a jerk honestly.	... Mi stavo comportando un po' da stronzo, a dire il vero.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	... Pensavo fossimo buoni amici. Facciamo sesso in continuazione!
line:1bebf328	... Thank you..	... Grazie...
line:a8eb78ed	... you're done? I'm still dirty..	... Hai finito? Sono ancora sporco...
line:ef611d11	... you're done? I'm still soapy..	... Hai finito? Sono ancora insaponato...
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>Almeno, io ce l'ho per lui.
line:e2ea4ead	...A wash for our date tonight.	... Una lavata per il nostro appuntamento di stasera.
line:048d7f84	...About what I said earlier.	... Riguardo a quello che dicevo prima.
line:55d1f6ef	...and nice.	... E gentile.
line:79a1a205	...But not in like a bad weird way.	... Ma non in modo brutto o strano.
line:3592632e	...It's intimidating knowing how much they look up to me.	... Mi intimorisce sapere quanto mi guardino dal basso verso l'alto.
line:7e08544c	...It's odd being able to speak so freely with someone.	... È strano poter parlare così liberamente con qualcuno.
line:f0cb8389	...No	... No.
line:92601622	...Okay, come in	... Va bene, entra.
line:e381559c	...Thank you for this.	... La ringrazio per questo.
line:b7b5f7fb	...Thanks.	... Grazie.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Hai suggerito Ryan a Conrad?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Conosco un drago, Ryan. Potrei mettervi in contatto? </b></gradient><size=70%>(Sblocca la coppia Conrad/Ryan O la storia con Ryan)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> A me non dispiacerebbe passare del tempo insieme... </b></gradient><size=70%> (Sblocca la storia con Conrad)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> Non mi dispiacerebbe! </b></gradient><size=70%> (Porta alla storia con Alexander!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Stasera sarò impegnato. Mi dispiace. </b></gradient><size=70%> (Porta a un finale senza storia d'amore!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>Così su due piedi non mi viene in mente nessuno.</b></gradient><size=70%> (Conferma la storia con Conrad!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Conosco un drago rosso. Secondo me ti piacerebbe! </b></gradient><size=70%> (Mette insieme Ryan e Conrad!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Oh. Ehm. <size=70%> A me non dispiacerebbe... essere quel qualcuno. </b></gradient><size=70%> (Conferma la storia con Ryan!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>EHI! </gradient><size=100%>È qui che si dà una ripulita, sì?
line:c777ce0c	<i> that feels nice...</i>	<i> Che bella sensazione...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Oh-oh... E i libri.
line:d67b1098	<i>I like spraying you with water.	<i>Mi piace spruzzarti d'acqua.
line:ad5d633a	<i>Oh...	<i>Oh...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Oh.</i> Non credo di essere ancora pronto.
