# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	היי, כלב גדול.
line:918d7820	'Ey big kobold.	היי, קובולד גדול.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	״חושב״? ״בדרך לכאן״? אז לא היית מכוסה בדיו לפני כן...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	יש מצב בהחלט. אין דבר שאני בטוח בו יותר.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	יש מצב בהחלט. אין דבר שאני בטוח בו יותר.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... שיעור שמתחיל בקרוב מאוד, למעשה.
line:4815d919	... Being a bit of a jerk honestly.	... קצת התנהגתי כמו חרא, האמת.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	... חשבתי שאנחנו חברים טובים, אנחנו עושים סקס כל הזמן!
line:1bebf328	... Thank you..	... תודה..
line:a8eb78ed	... you're done? I'm still dirty..	... סיימת? אני עדיין מלוכלך..
line:ef611d11	... you're done? I'm still soapy..	... סיימת? אני עדיין מלא סבון..
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>אני לפחות דלוק עליו.
line:e2ea4ead	...A wash for our date tonight.	... רחיצה לקראת הדייט שלנו הערב.
line:048d7f84	...About what I said earlier.	... בקשר למה שאמרתי קודם.
line:55d1f6ef	...and nice.	... ונחמד.
line:79a1a205	...But not in like a bad weird way.	... אבל לא במובן רע או מוזר.
line:3592632e	...It's intimidating knowing how much they look up to me.	... מאיים לדעת עד כמה הם נושאים אליי עיניים.
line:7e08544c	...It's odd being able to speak so freely with someone.	... מוזר שאפשר לדבר בחופשיות כזאת עם מישהו.
line:f0cb8389	...No	... לא.
line:92601622	...Okay, come in	... בסדר, תיכנס.
line:e381559c	...Thank you for this.	... תודה על כך.
line:b7b5f7fb	...Thanks.	... תודה.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>הצעת לקונרד להכיר את ראיין?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> אני מכיר דרקון, ראיין. אולי אקשר ביניכם? </b></gradient><size=70%>(פותח מפגש בין קונרד לראיין או רומן עם ראיין)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> אני דווקא אשמח לבלות איתך... </b></gradient><size=70%> (פותח רומן עם קונרד)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> אשמח! </b></gradient><size=70%> (מוביל לרומן עם אלכסנדר!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> אהיה עסוק הערב. סליחה. </b></gradient><size=70%> (מוביל לסיום בלי רומן!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>לא עולה לי אף אחד בראש כרגע.</b></gradient><size=70%> (מאשר את מסלול הרומן עם קונרד!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>אני מכיר דרקון אדום אחד. נראה לי שתאהב אותו! </b></gradient><size=70%> (מחבר בין ראיין לקונרד!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>אה. אממ. <size=70%> לא הייתי מתנגד... להיות אותו מישהו. </b></gradient><size=70%> (מאשר את מסלול הרומן עם ראיין!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>היי! </gradient><size=100%>כאן רוחצים, נכון?
line:c777ce0c	<i> that feels nice...</i>	<i>זה נעים...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>אוי... וגם את הספרים.
line:d67b1098	<i>I like spraying you with water.	<i>אני אוהב להתיז עליך מים.
line:ad5d633a	<i>Oh...	<i>אה...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>אה.</i> איני חושב שאני מוכן לזה עדיין.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>אווו. </i>המתקן? ברור שכן, חבר.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>זה</i> לא באשמתך, קונרד.
line:72b244b7	<size=100%> That felt damn good!	<size=100%>זה היה טוב בטירוף!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>כלומר... מגניב.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>פאק, כן!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>היי, <size=100%>באתי לרחיצה.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>פאק, כן!
line:f5462edf	<size=60%> that's hot.	<size=60%>זה סקסי.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>דרקון גדול נותן לי שליטה. וואו.
line:53d71f27	<size=70%> And for me.	<size=70%>וגם בשבילי.
line:4fe271cc	<size=70%> woah.	<size=70%>וואו.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>פאק, הרגע קבעתי דייט עם דרקון.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>אבל נעים... תודה.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>אתה מוזמן להמשיך...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>אה...</i> לא, האמת שזה ממש משמח אותי.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>וואו...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>באמת?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>אני עדיין משלם להם משכורת.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
