# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	a, soweli suli o.
line:918d7820	'Ey big kobold.	toki, jan akesi lili suli o.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	sina 'pilin'? sina 'tawa ma ni'? tenpo pini la telo sitelen li lon ala sina...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	ken lon. mi sona wawa e ni tawa ijo ante ale.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	ken lon. mi sona wawa e ni tawa ijo ante ale.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... tenpo pi pana sona mi li kama lon tenpo lili.
line:4815d919	... Being a bit of a jerk honestly.	...mi toki lon la, mi jan ike lili.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	... mi pilin e ni: mi ale li jan pona pona. mi ale li unpa lon tenpo ale!
line:1bebf328	... Thank you..	... sina pona..
line:a8eb78ed	... you're done? I'm still dirty..	...sina pini? mi awen jaki..
line:ef611d11	... you're done? I'm still soapy..	...sina pini? mi awen jo e ko telo..
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>mi olin e ona lon.
line:e2ea4ead	...A wash for our date tonight.	...telo tawa tenpo olin mi tu pi pimeja ni.
line:048d7f84	...About what I said earlier.	...mi wile toki sin e ijo mi pi tenpo pini.
line:55d1f6ef	...and nice.	... sina pona kin.
line:79a1a205	...But not in like a bad weird way.	...taso lon nasin ike nasa ala.
line:3592632e	...It's intimidating knowing how much they look up to me.	... ona li lukin suli e mi. sona ni li pana e monsuta.
line:7e08544c	...It's odd being able to speak so freely with someone.	... mi ken toki ale tawa jan. ni li nasa.
line:f0cb8389	...No	... ala.
line:92601622	...Okay, come in	...pona, o kama insa
line:e381559c	...Thank you for this.	... sina pona tan ni.
line:b7b5f7fb	...Thanks.	... sina pona.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>sina toki ala toki e jan Wajan tawa jan Konwa?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> mi sona e akesi, jan Wajan. mi ken pana e nimi sina tawa ona? </b></gradient><size=70%>(ni li open e nasin pi jan Konwa en jan Wajan ANU nasin olin pi jan Wajan)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> mi wile musi lon poka sina... </b></gradient><size=70%> (ni li open e nasin olin pi jan Konwa)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> ni li pona tawa mi! </b></gradient><size=70%> (ni li open e nasin olin pi jan Aleksanta!)
