# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	어이, 큰 강아지.
line:918d7820	'Ey big kobold.	어이, 큰 코볼트.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	'같다'고요? '오는 길에'? 그럼 오기 전에는 잉크가 안 묻어 있었...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	그렇습니다. 이것보다 더 확신하는 것은 없습니다.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	그렇습니다. 이것보다 더 확신하는 것은 없습니다.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... 게다가 곧 수업이 시작되겠군요.
line:4815d919	... Being a bit of a jerk honestly.	... 솔직히 좀 재수 없게 굴었지.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	... 좋은 친구인 줄 알았는데. 맨날 섹스도 하잖아!
line:1bebf328	... Thank you..	... 고마워..
line:a8eb78ed	... you're done? I'm still dirty..	... 끝났어? 아직 더러운데..
line:ef611d11	... you're done? I'm still soapy..	... 끝났어? 아직 비누가 남았는데..
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>적어도 난 마음에 들거든.
line:e2ea4ead	...A wash for our date tonight.	... 오늘 밤 데이트 전에요.
line:048d7f84	...About what I said earlier.	... 아까 한 말 있잖아요.
line:55d1f6ef	...and nice.	... 다정하기도 하고.
line:79a1a205	...But not in like a bad weird way.	... 나쁘거나 이상한 뜻은 아니고.
line:3592632e	...It's intimidating knowing how much they look up to me.	... 그들이 저를 얼마나 우러러보는지 알면 부담스럽기도 합니다.
line:7e08544c	...It's odd being able to speak so freely with someone.	... 누군가와 이렇게 자유롭게 이야기할 수 있다니 낯설군요.
line:f0cb8389	...No	... 아뇨.
line:92601622	...Okay, come in	... 알겠어요, 들어오세요.
line:e381559c	...Thank you for this.	... 신세 졌습니다.
line:b7b5f7fb	...Thanks.	... 고마워.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>콘래드에게 라이언을 소개했나요?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> 라이언이라는 드래곤을 알아요. 둘이 연락할 수 있게 해 줄까요? </b></gradient><size=70%>(콘래드와 라이언의 만남 또는 라이언 연애 경로 개방)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> 저도 같이 놀고 싶은데요... </b></gradient><size=70%> (콘래드 연애 경로 개방)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> 좋아요! </b></gradient><size=70%> (알렉산더와의 연애로 이어집니다!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> 오늘 저녁에는 바쁠 것 같아요. 죄송해요. </b></gradient><size=70%> (연애 없이 끝납니다!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>당장은 생각나는 사람이 없네요.</b></gradient><size=70%> (콘래드 연애 경로 확정!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>제가 아는 빨간 드래곤이 있어요. 분명 좋아할 거예요! </b></gradient><size=70%> (라이언과 콘래드를 연결합니다!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>아. 저기. <size=70%> 그 사람이... 저라면 좋겠는데요. </b></gradient><size=70%> (라이언 연애 경로 확정!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>야! </gradient><size=100%>여기가 씻겨 주는 데 맞지?
line:c777ce0c	<i> that feels nice...</i>	<i>기분 좋군요...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>이런... 책도요.
line:d67b1098	<i>I like spraying you with water.	<i>물을 뿌리는 게 좋아요.
line:ad5d633a	<i>Oh...	<i>아...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>아.</i> 아직 그럴 준비는 안 된 것 같습니다.
line:cacbff51	<i>Ooooh. </i>The mount? Hell yeah, man.	<i>오오. </i>기구? 당연히 좋지, 친구.
line:04b7ce44	<i>This</i> isn't your fault, Conrad.	<i>이건</i> 콘래드 잘못이 아니에요.
line:72b244b7	<size=100%> That felt damn good!	<size=100%>진짜 끝내주네!
line:78cc49e8	<size=100%>I mean- Cool.	<size=100%>아니, 좋네.
line:e48243c0	<size=140%> FUCK YEAH!	<size=140%>씨발, 그래!
line:f474ffa9	<size=140%>HEY, <size=100%>lookin' for a wash.	<size=140%>야, <size=100%>씻으러 왔어.
line:9d458e88	<size=160%>HELL YEAH!	<size=160%>씨발, 최고!
line:f5462edf	<size=60%> that's hot.	<size=60%>섹시하네요.
line:7c745c31	<size=70%> A big dragon giving me control. Woah.	<size=70%>큰 드래곤이 저한테 통제권을 주다니. 우와.
line:53d71f27	<size=70%> And for me.	<size=70%>저도 먹고요.
line:4fe271cc	<size=70%> woah.	<size=70%>우와.
line:e53b1bd3	<size=70%><i> holy shit, I just bagged a date with a dragon.	<size=70%><i>세상에, 방금 드래곤이랑 데이트 약속 잡았어.
line:c4384e8e	<size=70%><i>but it was nice... Thank you.	<size=70%><i>그래도 좋았습니다... 감사합니다.
line:ec0e5330	<size=70%><i>feel free to continue-</i>	<size=70%><i>계속하셔도 괜찮습니다...</i>
line:e77c1f79	<size=70%><i>oah-</i> no that's really cool actually.	<size=70%><i>아...</i> 아니요, 오히려 정말 기뻐요.
line:a618f9c2	<size=70%><i>Woah...	<size=70%><i>우와...
line:ad460e4b	<size=70%><i>Yeah?	<size=70%><i>그래요?
line:c25d1c85	<size=70%>They're still on my payroll.	<size=70%>급여는 계속 지급하고 있습니다.
line:22deeef6	==	==
line:67fa34ad	==	==
line:a8e2f13e	==	==
line:ce938344	==	==
line:e41244bf	==	==
line:497d3f67	A few days ago...	며칠 전에...
line:c570a462	A rather good excuse to see my favorite kobold.	제가 가장 좋아하는 코볼트를 보러 올 좋은 구실이지요.
line:5d2d16e0	A really good friend?	정말 좋은 친구라고 생각하면 이상할까요?
line:df4d3810	About earlier.	아까 말인데요.
line:1a5e1ba4	Act what way?	어떻게요?
line:cc532c02	After his spontaneous conflagration, I made sure to give him privacy.	갑자기 불길에 휩싸인 뒤에는 혼자 있을 시간을 주었습니다.
line:a983ffa3	Again...?	또요...?
line:8e34b87d	Agreed, though I'd still like to be let in as soon as convenient.	동감입니다. 그래도 가능하면 어서 들어가고 싶군요.
line:934a1d5a	Ah yeah, that's the stuff.. keep at it.	아, 그래, 그거야... 계속해.
line:e216aee0	Ah, good.	아, 좋습니다.
line:9b26ac5f	Ah, I see the button there, gotcha!	아, 저기 버튼이 있네요. 알겠어요!
line:7f3fe9f9	Ah, sorry, I'm passionate about such things.	아, 죄송합니다. 이런 주제에 열정이 넘쳐서요.
line:bf2a8309	Ah, the grime did sting a little, thank you.	아, 때 때문에 조금 따가웠습니다. 감사합니다.
line:ebdb9888	Ah, yeah, those types are pretty cute.	아, 네. 그런 타입은 꽤 귀엽죠.
line:b920f205	Ah. Do not worry.	아, 신경 쓰지 마세요.
line:a98d068c	Ah. Okay nevermind I'm not sorry then.	아. 그럼 미안하단 말은 취소할게.
line:6de2c490	Ah...	아...
line:4d6b365e	Ahh, all cleaned and with a lighter load.	아, 다 씻고 짐도 좀 덜었네.
line:20f96302	Alexander!	알렉산더!
line:f167e3d7	Alexander!	알렉산더!
line:fe3996b8	Alexander!	알렉산더!
line:af7db134	Alexander...?	알렉산더...?
line:eb7cf9e5	All clean...	다 깨끗해졌네...
line:f57fc630	All done!	다 됐어요!
line:0b734d82	All self respecting washers know how to please a dragon.	제대로 된 목욕사라면 드래곤을 기쁘게 해 줄 줄 알아야지.
line:599ffb25	Already got seats at that bar I mentioned earlier.	아까 말한 술집에 자리도 잡았어.
line:642ddea3	Alright alright... Then I think I'd like to use it?	알겠습니다, 알겠어요... 그럼 써 보고 싶은 것 같습니다만...?
line:c7b3a185	Alright! I'll go get the gate.	좋아요! 문 열고 올게요.
