# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hey, koca köpek.
line:918d7820	'Ey big kobold.	Hey, koca kobold.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	«Sanırım», «buraya gelirken» mi? Yani öncesinde mürekkebe bulanmış değildiniz...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	Var artık. Daha emin olduğum hiçbir şey yok.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	Var artık. Daha emin olduğum hiçbir şey yok.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	...
line:8c0e2d04	..	...
line:b36eb839	..	...
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... Üstelik birazdan dersim var.
line:4815d919	... Being a bit of a jerk honestly.	... Açıkçası biraz pislik yapıyordum.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	... İyi arkadaş olduğumuzu sanıyordum. Sürekli seks yapıyoruz!
line:1bebf328	... Thank you..	... Sağ ol...
line:a8eb78ed	... you're done? I'm still dirty..	... Bitti mi? Hâlâ kirliyim...
line:ef611d11	... you're done? I'm still soapy..	... Bitti mi? Hâlâ sabunluyum...
line:496134bc	...!	...!
line:7cc45755	...!	...!
