# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Здоров, здоровенний псе.
line:918d7820	'Ey big kobold.	Здоров, великий кобольде.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	«Гадаю», «дорогою сюди»? Тобто до цього ви не були в чорнилі...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	«Може бути». Ні в чому я не впевнений більше.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	«Може бути». Ні в чому я не впевнений більше.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	...І досить скоро маю проводити заняття.
line:4815d919	... Being a bit of a jerk honestly.	...Чесно, трохи як мудак.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	...Я думав, ми добрі друзі. Ми ж постійно трахаємося!
line:1bebf328	... Thank you..	...Дякую...
line:a8eb78ed	... you're done? I'm still dirty..	...Уже все? Я ще брудний...
line:ef611d11	... you're done? I'm still soapy..	...Уже все? Я ще в милі...
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>Принаймні він мені точно подобається.
line:e2ea4ead	...A wash for our date tonight.	...Перед нашим сьогоднішнім побаченням.
line:048d7f84	...About what I said earlier.	...Щодо того, що я казав раніше.
line:55d1f6ef	...and nice.	...І милий.
line:79a1a205	...But not in like a bad weird way.	...Але не в якомусь поганому чи дивному сенсі.
line:3592632e	...It's intimidating knowing how much they look up to me.	...Та усвідомлювати, наскільки вони на мене рівняються, страшнувато.
line:7e08544c	...It's odd being able to speak so freely with someone.	...Дивно мати змогу так вільно з кимось говорити.
line:f0cb8389	...No	...Ні.
line:92601622	...Okay, come in	...Добре, заходь.
line:e381559c	...Thank you for this.	...Дякую вам за це.
line:b7b5f7fb	...Thanks.	...Дякую.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>Ти запропонував Конраду познайомитися з Раяном?
