# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Qué tal, perro grande.
line:918d7820	'Ey big kobold.	Qué tal, gran kobold.
line:155c00eb	'think', 'On the way here'? Then you weren't covered in ink before...	¿«Cree»? ¿«De camino aquí»? Entonces antes no estaba cubierto de tinta...
line:15bcd86c	'Yes way', There is nothing I am more certain of.	Sí puede ser. No hay nada de lo que esté más seguro.
line:4d49ae72	'Yes way', There is nothing I am more certain of.	Sí puede ser. No hay nada de lo que esté más seguro.
line:25f35611	---	---
line:4b9b3a43	---	---
line:97ab84a8	---	---
line:db5b3129	---	---
line:e2f28daa	---	---
line:3d2df033	..	..
line:8c0e2d04	..	..
line:b36eb839	..	..
line:03d2f0bb	...	...
line:045f5836	...	...
line:1113335e	...	...
line:227eda5e	...	...
line:30a74521	...	...
line:4810891f	...	...
line:4da86a7a	...	...
line:610824ef	...	...
line:6757e4a0	...	...
line:695ef750	...	...
line:7426a997	...	...
line:759a495e	...	...
line:7e189c92	...	...
line:812700a5	...	...
line:848f5cd8	...	...
line:85f39b27	...	...
line:9504ba33	...	...
line:a6531779	...	...
line:b59e9091	...	...
line:b7f0551c	...	...
line:c272e55f	...	...
line:cdb8d8db	...	...
line:cfe4b91d	...	...
line:d6483230	...	...
line:d90d368f	...	...
line:d9516fdd	...	...
line:dd197e7c	...	...
line:decf872a	...	...
line:e9d40a5c	...	...
line:20f87f8d	... A class which I'm teaching rather soon.	... Una clase que, por cierto, empieza dentro de poco.
line:4815d919	... Being a bit of a jerk honestly.	... Siendo un poco imbécil, la verdad.
line:11bfce3b	... I thought we were good friends, we have sex all the time!	... ¡Creí que éramos buenos amigos, tenemos sexo todo el tiempo!
line:1bebf328	... Thank you..	... Gracias..
line:a8eb78ed	... you're done? I'm still dirty..	... ¿Ya terminaste? Todavía estoy sucio..
line:ef611d11	... you're done? I'm still soapy..	... ¿Ya terminaste? Todavía tengo jabón..
line:496134bc	...!	...!
line:7cc45755	...!	...!
line:6585925d	...<i><size=70%>I have one on him at least.	...<i><size=70%>Al menos él me gusta a mí.
line:e2ea4ead	...A wash for our date tonight.	... Un baño para nuestra cita de esta noche.
line:048d7f84	...About what I said earlier.	... Sobre lo que dije antes.
line:55d1f6ef	...and nice.	... Y eres amable.
line:79a1a205	...But not in like a bad weird way.	... Pero no en un sentido raro ni malo.
line:3592632e	...It's intimidating knowing how much they look up to me.	... Impone saber cuánto me admiran.
line:7e08544c	...It's odd being able to speak so freely with someone.	... Es extraño poder hablar con tanta libertad con alguien.
line:f0cb8389	...No	... No.
line:92601622	...Okay, come in	... Bueno, pasa.
line:e381559c	...Thank you for this.	... Gracias por esto.
line:b7b5f7fb	...Thanks.	... Gracias.
line:dbab7a39	<b><i><size=130%>Did you suggest Ryan to Conrad?	<b><i><size=130%>¿Le hablaste de Ryan a Conrad?
line:36ff6bd9	<gradient="gold"><b> I know a dragon, Ryan. I could get you two in contact? </b></gradient><size=70%>(Unlocks Conrad/Ryan hookup OR Ryan romance)	<gradient="gold"><b> Conozco a un dragón, Ryan. ¿Los pongo en contacto? </b></gradient><size=70%>(Desbloquea el encuentro entre Conrad y Ryan O la relación con Ryan)
line:7e9d40e6	<gradient="gold"><b> I wouldn't mind hanging out... </b></gradient><size=70%> (Unlocks Conrad romance)	<gradient="gold"><b> A mí me gustaría pasar tiempo contigo... </b></gradient><size=70%> (Desbloquea la relación con Conrad)
line:a0e49f02	<gradient="gold"><b> I wouldn't mind! </b></gradient><size=70%> (Will lead to Alexander romance!)	<gradient="gold"><b> ¡Me encantaría! </b></gradient><size=70%> (¡Lleva a una relación con Alexander!)
line:0371fb9c	<gradient="gold"><b> I'm going to be busy tonight. Sorry. </b></gradient><size=70%> (Will lead to no romance!)	<gradient="gold"><b> Esta noche estaré ocupado. Lo siento. </b></gradient><size=70%> (¡Lleva a un final sin relación romántica!)
line:f5a81524	<gradient="gold"><b>I don't have anyone off the top of my head.</b></gradient><size=70%> (Locks in Conrad romance!)	<gradient="gold"><b>No se me ocurre nadie ahora mismo.</b></gradient><size=70%> (¡Confirma la relación con Conrad!)
line:bedc761d	<gradient="gold"><b>I know this one red dragon. I think you'd like him! </b></gradient><size=70%> (Hooks up Ryan with Conrad!)	<gradient="gold"><b>Conozco a un dragón rojo. ¡Creo que te gustaría! </b></gradient><size=70%> (¡Junta a Ryan con Conrad!)
line:e104b8e4	<gradient="gold"><b>Oh. Uhm. <size=70%> I wouldn't mind... If I was that someone. </b></gradient><size=70%> (Locks in Ryan romance!)	<gradient="gold"><b>Ah. Este. <size=70%> A mí me gustaría... ser ese alguien. </b></gradient><size=70%> (¡Confirma la relación con Ryan!)
line:36073321	<gradient="yellow - orange"><size=140%>HEY! </gradient><size=100%>This is the cleaning place, ya?	<gradient="yellow - orange"><size=140%>¡EH! </gradient><size=100%>Aquí es donde bañan dragones, ¿no?
line:c777ce0c	<i> that feels nice...</i>	<i>Eso se siente bien...</i>
line:e56dd423	<i><size=70%>uh oh.. and the books	<i><size=70%>Ay... Y los libros.
line:d67b1098	<i>I like spraying you with water.	<i>Me gusta rociarte con agua.
line:ad5d633a	<i>Oh...	<i>Ah...
line:22b5941e	<i>Oh.</i> I don't think I'm ready for that just yet.	<i>Ah.</i> No creo estar listo para eso todavía.
